SecurityID,DhanSymbol,MasterSymbol,CompanyName,Sector,Industry
10099,GODREJCP,GODREJCP,GODREJ CONSUMER PRODUCTS LTD,FMCG,PERSONAL CARE / HOME CARE
1023,FEDERALBNK,FEDERALBNK,FEDERAL BANK LTD,BANKING,PRIVATE BANK
10243,SYNGENE,SYNGENE,SYNGENE INTERNATIONAL LTD,PHARMA,CRDMO / CONTRACT RESEARCH
10447,UNITDSPR,UNITDSPR,UNITED SPIRITS LTD,FMCG,ALCOHOLIC BEVERAGES
10738,OFSS,OFSS,ORACLE FINANCIAL SERVICES SOFTWARE LTD,IT,SOFTWARE PRODUCTS
1076,ZENSARTECH,ZENSARTECH,ZENSAR TECHNOLOGIES LTD,IT,IT SERVICES
11287,UPL,UPL,UPL LTD,CHEMICALS,AGROCHEMICALS
11351,PETRONET,PETRONET,PETRONET LNG LTD,OIL & GAS,LNG TERMINAL / IMPORT
11373,BIOCON,BIOCON,BIOCON LTD,PHARMA,BIOTECHNOLOGY
11532,ULTRACEMCO,ULTRACEMCO,ULTRATECH CEMENT LTD,CEMENT,CEMENT
11536,TCS,TCS,TATA CONSULTANCY SERVICES LTD,IT,IT SERVICES
11543,COFORGE,COFORGE,COFORGE LTD,IT,IT SERVICES
11723,JSWSTEEL,JSWSTEEL,JSW STEEL LTD,METAL,STEEL
11821,WELCORP,WELCORP,WELSPUN CORP LTD,METAL,STEEL PIPES
1186,GLAND,GLAND,GLAND PHARMA LTD,PHARMA,PHARMACEUTICALS - INJECTABLES
1270,AMBUJACEM,AMBUJACEM,AMBUJA CEMENTS LTD,CEMENT,CEMENT
13061,360ONE,360ONE,360 ONE WAM LTD,FINANCIAL SERVICES,WEALTH MANAGEMENT
13147,PVRINOX,PVRINOX,PVR INOX LTD,MEDIA & ENTERTAINMENT,MULTIPLEX / CINEMA
1333,HDFCBANK,HDFCBANK,HDFC BANK LTD,BANKING,PRIVATE BANK
13359,KFINTECH,KFINTECH,KFIN TECHNOLOGIES LTD,FINANCIAL SERVICES,CAPITAL MARKETS - RTA SERVICES
1348,HEROMOTOCO,HEROMOTOCO,HERO MOTOCORP LTD,AUTO,TWO WHEELERS
13491,JKLAKSHMI,JKLAKSHMI,JK LAKSHMI CEMENT LTD,CEMENT,CEMENT
13517,EMAMILTD,EMAMILTD,EMAMI LTD,FMCG,PERSONAL CARE
13538,TECHM,TECHM,TECH MAHINDRA LTD,IT,IT SERVICES
13620,ANANTRAJ,ANANTRAJ,ANANT RAJ LTD,REALTY,REAL ESTATE
1363,HINDALCO,HINDALCO,HINDALCO INDUSTRIES LTD,METAL,ALUMINIUM & COPPER
