SecurityID,Symbol,CompanyName
100,ARE&M,Amara Raja Energy & Mobility
10217,ADANIENSOL,Adani Energy Solutions
1038,FINCABLES,Finolex Cables
10417,DYCL,Dynamic Cables
10453,SATIN,Satin Creditcare
10485,RAMRAT,Ram Ratna Wires
10577,KRBL,KRBL
10579,MARKSANS,Marksans Pharma
10599,GUJGASLTD,Gujarat Gas
10604,BHARTIARTL,Bharti Airtel
10637,OLECTRA,Olectra Greentech
10793,SYRMA,Syrma SGS
1085,GABRIEL,Gabriel
10905,GENESYS,Genesys International Corp
11050,SIRCA,Sirca Paints
11162,HARSHA,Harsha Engineers
11195,INDIGO,Interglobe Aviation
11233,SUVEN,Suven Life Sciences
11265,TVSELECT,TVS Electronics
11271,DREDGECORP,Dredging Corporation of India
1134,APOLLO,Apollo Micro Systems
11364,VAIBHAVGBL,Vaibhav Global
11403,POONAWALLA,Poonawalla Fincorp
11411,RKFORGE,Ramkrishna Forgings
11435,SPANDANA,Spandana Sphoorty Financial
11483,LT,Larsen & Toubro
11573,FORCEMOT,Force Motors
11596,LINCOLN,Lincoln Pharmaceuticals
11618,ASTRAMICRO,Astra Microwave Products
11630,NTPC,NTPC
1164,NEWGEN,Newgen Software Technologies
11655,JBMA,JBM Auto
1174,GNFC,Gujarat Narmada Valley Fert & Chem
11778,GOKEX,Gokaldas Exports
11809,IIFL,IIFL Finance
1181,GODFRYPHLP,Godfrey Phillips
11884,MANINDS,Man Industries
11905,GENUSPOWER,Genus Power Infrastructures
1196,KANSAINER,Kansai Nerolac Paints
11971,GOLDIAM,Goldiam International
11987,ICIL,Indo Count Industries
12032,FIVESTAR,Five Star Business Finance
12092,KAYNES,Kaynes Technology India
1235,GREAVESCOT,Greaves Cotton
12489,SWSOLAR,Sterling & Wilson Renewable Energy
12847,KRISHANA,Krishana Phoschem
13101,VIMTALABS,Vimta Labs
13260,KEC,KEC International
1328,MARINE,Marine Electricals
13285,M&MFIN,M&M Financial Services
13310,KEI,KEI Industries
1336,HEG,HEG
13409,GPIL,Godawari Power & Ispat
13611,IRCTC,IRCTC
13631,SKYGOLD,Sky Gold And Diamonds
13648,TALBROAUTO,Talbros Automotive Components
13751,NAUKRI,Info Edge
13776,GESHIP,Great Eastern Shipping Company
13816,LTFOODS,LT Foods
13868,AARTIPHARM,Aarti Pharma Labs
13966,HBLENGINE,HBL Engineering
13976,TANLA,Tanla Platforms
13982,JASH,Jash Engineering
14014,LUMAXTECH,Lumax Auto Technologies
14096,SIYSIL,Siyaram Silk Mills
14203,HUBTOWN,Hubtown
14255,REDINGTON,Redington
14260,PGIL,Pearl Global Industries
14296,VIYASH,Viyash Scientific
14304,FSL,Firstsource Solutions
14418,ASTRAL,Astral
14435,JKTYRE,JK Tyre & Industries
14766,V2RETAIL,V2 Retail
14788,SPARC,Sun Pharma Advanced Research Co
14912,KPRMILL,KPR Mill
14947,MOTILALOFS,Motilal Oswal Financial Services
14966,CSBBANK,CSB Bank
14977,POWERGRID,Power Grid Corporation of India
15058,AVALON,Avalon Technologies
15068,RELIGARE,Religare Enterprises
15083,ADANIPORTS,Adani Ports & SEZ
1512,INDHOTEL,Indian Hotels Company
15146,JYOTHYLAB,Jyothy Laboratories
15174,TARIL,Transformers & Rectifiers
15180,KIRLPNU,Kirloskar Pneumatic Company
1530,INDIANHUME,Indian Hume Pipe
15414,TITAGARH,Titagarh Rail Systems
16045,PRINCEPIPE,Prince Pipes & Fittings
1621,TATAINVEST,Tata Investment Corporation
