SecurityID,DhanSymbol,MasterSymbol,CompanyName,Sector,Industry,MatchType
100,ARE&M,,AMARA RAJA ENERGY & MOBILITY,,,UNMATCHED
10099,GODREJCP,GODREJCP,GODREJ CONSUMER PRODUCTS,FMCG,PERSONAL CARE / HOME CARE,EXACT
10217,ADANIENSOL,,ADANI ENERGY SOLUTIONS,,,UNMATCHED
1023,FEDERALBNK,FEDERALBNK,FEDERAL BANK,BANKING,PRIVATE BANK,EXACT
10243,SYNGENE,SYNGENE,SYNGENE INTERNATIONAL,PHARMA,CRDMO / CONTRACT RESEARCH,EXACT
1038,FINCABLES,,FINOLEX CABLES,,,UNMATCHED
10417,DYCL,,DYNAMIC CABLES,,,UNMATCHED
10447,UNITDSPR,UNITDSPR,UNITED SPIRITS,FMCG,ALCOHOLIC BEVERAGES,EXACT
10453,SATIN,,SATIN CREDITCARE,,,UNMATCHED
10485,RAMRAT,,RAM RATNA WIRES,,,UNMATCHED
10577,KRBL,,KRBL,,,UNMATCHED
10579,MARKSANS,,MARKSANS PHARMA,,,UNMATCHED
10599,GUJGASLTD,,GUJARAT GAS,,,UNMATCHED
10604,BHARTIARTL,,BHARTI AIRTEL,,,UNMATCHED
10637,OLECTRA,,OLECTRA GREENTECH,,,UNMATCHED
10738,OFSS,OFSS,ORACLE FINANCIAL SERVICES SOFTWARE,IT,SOFTWARE PRODUCTS,EXACT
1076,ZENSARTECH,ZENSARTECH,ZENSAR TECHNOLOGIES,IT,IT SERVICES,EXACT
10793,SYRMA,,SYRMA SGS,,,UNMATCHED
1085,GABRIEL,,GABRIEL,,,UNMATCHED
10905,GENESYS,,GENESYS INTERNATIONAL CORP,,,UNMATCHED
10999,MARUTI,MARUTI,MARUTI SUZUKI,AUTO,PASSENGER VEHICLES,EXACT
11050,SIRCA,,SIRCA PAINTS,,,UNMATCHED
11162,HARSHA,,HARSHA ENGINEERS,,,UNMATCHED
11195,INDIGO,,INTERGLOBE AVIATION,,,UNMATCHED
11233,SUVEN,,SUVEN LIFE SCIENCES,,,UNMATCHED
11265,TVSELECT,,TVS ELECTRONICS,,,UNMATCHED
11271,DREDGECORP,,DREDGING CORPORATION OF INDIA,,,UNMATCHED
11287,UPL,UPL,UPL,CHEMICALS,AGROCHEMICALS,EXACT
1134,APOLLO,,APOLLO MICRO SYSTEMS,,,UNMATCHED
11351,PETRONET,PETRONET,PETRONET LNG,OIL & GAS,LNG TERMINAL / IMPORT,EXACT
11364,VAIBHAVGBL,,VAIBHAV GLOBAL,,,UNMATCHED
11373,BIOCON,BIOCON,BIOCON,PHARMA,BIOTECHNOLOGY,EXACT
11403,POONAWALLA,,POONAWALLA FINCORP,,,UNMATCHED
11411,RKFORGE,,RAMKRISHNA FORGINGS,,,UNMATCHED
11435,SPANDANA,,SPANDANA SPHOORTY FINANCIAL,,,UNMATCHED
11483,LT,,LARSEN & TOUBRO,,,UNMATCHED
11532,ULTRACEMCO,ULTRACEMCO,ULTRATECH CEMENT,CEMENT,CEMENT,EXACT
11536,TCS,TCS,TATA CONSULTANCY SERVICES,IT,IT SERVICES,EXACT
11543,COFORGE,COFORGE,COFORGE,IT,IT SERVICES,EXACT
11573,FORCEMOT,,FORCE MOTORS,,,UNMATCHED
11596,LINCOLN,,LINCOLN PHARMACEUTICALS,,,UNMATCHED
11618,ASTRAMICRO,,ASTRA MICROWAVE PRODUCTS,,,UNMATCHED
11630,NTPC,,NTPC,,,UNMATCHED
1164,NEWGEN,,NEWGEN SOFTWARE TECHNOLOGIES,,,UNMATCHED
11655,JBMA,,JBM AUTO,,,UNMATCHED
11723,JSWSTEEL,JSWSTEEL,JSW STEEL,METAL,STEEL,EXACT
1174,GNFC,,GUJARAT NARMADA VALLEY FERT & CHEM,,,UNMATCHED
11778,GOKEX,,GOKALDAS EXPORTS,,,UNMATCHED
11809,IIFL,,IIFL FINANCE,,,UNMATCHED
1181,GODFRYPHLP,,GODFREY PHILLIPS,,,UNMATCHED
11821,WELCORP,WELCORP,WELSPUN CORP,METAL,STEEL PIPES,EXACT
1186,GLAND,GLAND,GLAND PHARMA,PHARMA,PHARMACEUTICALS - INJECTABLES,EXACT
11872,GRANULES,GRANULES,GRANULES,PHARMA,PHARMACEUTICALS / APIS,EXACT
11884,MANINDS,,MAN INDUSTRIES,,,UNMATCHED
11905,GENUSPOWER,,GENUS POWER INFRASTRUCTURES,,,UNMATCHED
1196,KANSAINER,,KANSAI NEROLAC PAINTS,,,UNMATCHED
11971,GOLDIAM,,GOLDIAM INTERNATIONAL,,,UNMATCHED
11987,ICIL,,INDO COUNT INDUSTRIES,,,UNMATCHED
12032,FIVESTAR,,FIVE STAR BUSINESS FINANCE,,,UNMATCHED
12092,KAYNES,,KAYNES TECHNOLOGY INDIA,,,UNMATCHED
1235,GREAVESCOT,,GREAVES COTTON,,,UNMATCHED
12489,SWSOLAR,,STERLING & WILSON RENEWABLE ENERGY,,,UNMATCHED
1270,AMBUJACEM,AMBUJACEM,AMBUJA CEMENTS,CEMENT,CEMENT,EXACT
12847,KRISHANA,,KRISHANA PHOSCHEM,,,UNMATCHED
13061,360ONE,360ONE,360 ONE WAM,FINANCIAL SERVICES,WEALTH MANAGEMENT,EXACT
13101,VIMTALABS,,VIMTA LABS,,,UNMATCHED
13147,PVRINOX,PVRINOX,PVR INOX,MEDIA & ENTERTAINMENT,MULTIPLEX / CINEMA,EXACT
13260,KEC,,KEC INTERNATIONAL,,,UNMATCHED
1328,MARINE,,MARINE ELECTRICALS,,,UNMATCHED
13285,M&MFIN,,M&M FINANCIAL SERVICES,,,UNMATCHED
13310,KEI,,KEI INDUSTRIES,,,UNMATCHED
1333,HDFCBANK,HDFCBANK,HDFC BANK,BANKING,PRIVATE BANK,EXACT
13359,KFINTECH,KFINTECH,KFIN TECHNOLOGIES,FINANCIAL SERVICES,CAPITAL MARKETS - RTA SERVICES,EXACT
1336,HEG,,HEG,,,UNMATCHED
13409,GPIL,,GODAWARI POWER & ISPAT,,,UNMATCHED
1348,HEROMOTOCO,HEROMOTOCO,HERO MOTOCORP,AUTO,TWO WHEELERS,EXACT
13491,JKLAKSHMI,JKLAKSHMI,JK LAKSHMI CEMENT,CEMENT,CEMENT,EXACT
13517,EMAMILTD,EMAMILTD,EMAMI,FMCG,PERSONAL CARE,EXACT
13538,TECHM,TECHM,TECH MAHINDRA,IT,IT SERVICES,EXACT
13611,IRCTC,,IRCTC,,,UNMATCHED
13620,ANANTRAJ,ANANTRAJ,ANANT RAJ,REALTY,REAL ESTATE,EXACT
1363,HINDALCO,HINDALCO,HINDALCO INDUSTRIES,METAL,ALUMINIUM & COPPER,EXACT
13631,SKYGOLD,,SKY GOLD AND DIAMONDS,,,UNMATCHED
13648,TALBROAUTO,,TALBROS AUTOMOTIVE COMPONENTS,,,UNMATCHED
13751,NAUKRI,,INFO EDGE,,,UNMATCHED
13776,GESHIP,,GREAT EASTERN SHIPPING COMPANY,,,UNMATCHED
13816,LTFOODS,,LT FOODS,,,UNMATCHED
13868,AARTIPHARM,,AARTI PHARMA LABS,,,UNMATCHED
1394,HINDUNILVR,HINDUNILVR,HINDUSTAN UNILEVER,FMCG,DIVERSIFIED FMCG,EXACT
13966,HBLENGINE,,HBL ENGINEERING,,,UNMATCHED
13976,TANLA,,TANLA PLATFORMS,,,UNMATCHED
13982,JASH,,JASH ENGINEERING,,,UNMATCHED
14014,LUMAXTECH,,LUMAX AUTO TECHNOLOGIES,,,UNMATCHED
1406,HINDPETRO,HINDPETRO,HINDUSTAN PETROLEUM,OIL & GAS,REFINING & MARKETING - PSU,EXACT
14096,SIYSIL,,SIYARAM SILK MILLS,,,UNMATCHED
14154,UNOMINDA,UNOMINDA,UNO MINDA,AUTO,AUTO ANCILLARIES,EXACT
14203,HUBTOWN,,HUBTOWN,,,UNMATCHED
1424,HINDZINC,HINDZINC,HINDUSTAN ZINC,METAL,ZINC & SILVER MINING,EXACT
14255,REDINGTON,,REDINGTON,,,UNMATCHED
14260,PGIL,,PEARL GLOBAL INDUSTRIES,,,UNMATCHED
14296,VIYASH,,VIYASH SCIENTIFIC,,,UNMATCHED
14299,PFC,PFC,POWER FINANCE CORPORATION,FINANCIAL SERVICES,NBFC - PSU,EXACT
14304,FSL,,FIRSTSOURCE SOLUTIONS,,,UNMATCHED
14309,INDIANB,INDIANB,INDIAN BANK,BANKING,PSU BANK,EXACT
14334,HSCL,HSCL,HIMADRI SPECIALITY CHEMICAL,CHEMICALS,SPECIALTY CHEMICALS / CARBON MATERIALS,EXACT
14418,ASTRAL,,ASTRAL,,,UNMATCHED
14435,JKTYRE,,JK TYRE & INDUSTRIES,,,UNMATCHED
14552,PHOENIXLTD,PHOENIXLTD,PHOENIX MILLS,REALTY,REAL ESTATE - RETAIL/MALLS,EXACT
14592,FORTIS,FORTIS,FORTIS HEALTHCARE,HEALTHCARE SERVICES,HOSPITALS,EXACT
14732,DLF,DLF,DLF,REALTY,REAL ESTATE,EXACT
14766,V2RETAIL,,V2 RETAIL,,,UNMATCHED
14788,SPARC,,SUN PHARMA ADVANCED RESEARCH CO,,,UNMATCHED
14912,KPRMILL,,KPR MILL,,,UNMATCHED
14947,MOTILALOFS,,MOTILAL OSWAL FINANCIAL SERVICES,,,UNMATCHED
14966,CSBBANK,,CSB BANK,,,UNMATCHED
14977,POWERGRID,,POWER GRID CORPORATION OF INDIA,,,UNMATCHED
15058,AVALON,,AVALON TECHNOLOGIES,,,UNMATCHED
15068,RELIGARE,,RELIGARE ENTERPRISES,,,UNMATCHED
1508,ASTERDM,ASTERDM,ASTER DM HEALTHCARE,HEALTHCARE SERVICES,HOSPITALS,EXACT
15083,ADANIPORTS,,ADANI PORTS & SEZ,,,UNMATCHED
1512,INDHOTEL,,INDIAN HOTELS COMPANY,,,UNMATCHED
15141,COLPAL,COLPAL,COLGATE PALMOLIVE,FMCG,PERSONAL CARE,EXACT
15146,JYOTHYLAB,,JYOTHY LABORATORIES,,,UNMATCHED
1515,INDIACEM,INDIACEM,INDIA CEMENTS,CEMENT,CEMENT,EXACT
15174,TARIL,,TRANSFORMERS & RECTIFIERS,,,UNMATCHED
15180,KIRLPNU,,KIRLOSKAR PNEUMATIC COMPANY,,,UNMATCHED
15184,BRIGADE,BRIGADE,BRIGADE ENTERPRISES,REALTY,REAL ESTATE,EXACT
1530,INDIANHUME,,INDIAN HUME PIPE,,,UNMATCHED
15355,RECLTD,RECLTD,REC,FINANCIAL SERVICES,NBFC - PSU,EXACT
15414,TITAGARH,,TITAGARH RAIL SYSTEMS,,,UNMATCHED
1594,INFY,INFY,INFOSYS,IT,IT SERVICES,EXACT
16045,PRINCEPIPE,,PRINCE PIPES & FITTINGS,,,UNMATCHED
1621,TATAINVEST,,TATA INVESTMENT CORPORATION,,,UNMATCHED
163,APOLLOTYRE,,APOLLO TYRES,,,UNMATCHED
1630,IONEXCHANG,,ION EXCHANGE,,,UNMATCHED
1660,ITC,ITC,ITC,FMCG,DIVERSIFIED FMCG,EXACT
16669,BAJAJ-AUTO,BAJAJ-AUTO,BAJAJ AUTO,AUTO,TWO/THREE WHEELERS,EXACT
16675,BAJAJFINSV,BAJAJFINSV,BAJAJ FINSERV,FINANCIAL SERVICES,DIVERSIFIED FINANCIAL SERVICES,EXACT
1675,ITI,,ITI,,,UNMATCHED
16783,GVT&D,,GE VERNOVA T&D,,,UNMATCHED
16921,20MICRONS,,20 MICRONS,,,UNMATCHED
17029,PATANJALI,PATANJALI,PATANJALI FOODS,FMCG,EDIBLE OILS / PACKAGED FOODS,EXACT
17032,THYROCARE,,THYROCARE TECHNOLOGIES,,,UNMATCHED
17094,CROMPTON,CROMPTON,CROMPTON GREAVES,CONSUMER DURABLES,CONSUMER ELECTRICALS,EXACT
17105,SUMICHEM,SUMICHEM,SUMITOMO CHEMICAL,CHEMICALS,AGROCHEMICALS,EXACT
17130,PARAGMILK,,PARAG MILK FOODS,,,UNMATCHED
17279,BLS,,BLS INTERNATIONAL SERVICES,,,UNMATCHED
17313,LLOYDSME,LLOYDSME,LLOYDS METALS & ENERGY,METAL,IRON ORE MINING,EXACT
17388,ADANIPOWER,,ADANI POWER,,,UNMATCHED
17397,PREMEXPLN,,PREMIER EXPLOSIVES,,,UNMATCHED
17433,NETWEB,,NETWEB TECHNOLOGIES,,,UNMATCHED
17438,OIL,OIL,OIL INDIA,OIL & GAS,OIL EXPLORATION & PRODUCTION - PSU,EXACT
17635,ZYDUSWELL,,ZYDUS WELLNESS,,,UNMATCHED
17651,POKARNA,,POKARNA,,,UNMATCHED
17752,SHILPAMED,,SHILPA MEDICARE,,,UNMATCHED
17758,SARDAEN,,SARDA ENERGY & MINERALS,,,UNMATCHED
17764,REFEX,,REFEX INDUSTRIES,,,UNMATCHED
17851,DLINKINDIA,,D-LINK,,,UNMATCHED
