SecurityID,Symbol,CompanyName,Sector,Industry,BasicIndustry,MarketCap,PreviousClose,FNO
100,ARE&M,Amara Raja Energy & Mobility,,,,,,
1008,FACT,Fertilisers & Chemical Travancore,,,,,,
10099,GODREJCP,Godrej Consumer Products,FMCG,PERSONAL CARE / HOME CARE,,,,
10217,ADANIENSOL,Adani Energy Solutions,,,,,,
10227,MANORAMA,Manorama Industries,,,,,,
1023,FEDERALBNK,Federal Bank,BANKING,PRIVATE BANK,,,,
10243,SYNGENE,Syngene International,PHARMA,CRDMO / CONTRACT RESEARCH,,,,
10297,PPL,Prakash Pipes,,,,,,
10310,AURUM,Aurum PropTech,,,,,,
1038,FINCABLES,Finolex Cables,,,,,,
10417,DYCL,Dynamic Cables,,,,,,
10440,LUPIN,Lupin,PHARMA,PHARMACEUTICALS,,,,
10447,UNITDSPR,United Spirits,FMCG,ALCOHOLIC BEVERAGES,,,,
10453,SATIN,Satin Creditcare,,,,,,
10485,RAMRAT,Ram Ratna Wires,,,,,,
10577,KRBL,KRBL,,,,,,
10579,MARKSANS,Marksans Pharma,,,,,,
10599,GUJGASLTD,Gujarat Gas,,,,,,
10604,BHARTIARTL,Bharti Airtel,,,,,,
10637,OLECTRA,Olectra Greentech,,,,,,
10738,OFSS,Oracle Financial Services Software,IT,SOFTWARE PRODUCTS,,,,
1076,ZENSARTECH,Zensar Technologies,IT,IT SERVICES,,,,
10793,SYRMA,Syrma SGS,,,,,,
1085,GABRIEL,Gabriel,,,,,,
10905,GENESYS,Genesys International Corp,,,,,,
10940,DIVISLAB,Divis Laboratories,PHARMA,PHARMACEUTICALS / APIS,,,,
10990,RADICO,Radico Khaitan,FMCG,ALCOHOLIC BEVERAGES,,,,
10999,MARUTI,Maruti Suzuki,AUTO,PASSENGER VEHICLES,,,,
11162,HARSHA,Harsha Engineers,,,,,,
11195,INDIGO,Interglobe Aviation,,,,,,
11233,SUVEN,Suven Life Sciences,,,,,,
11236,JSL,Jindal Stainless,METAL,STAINLESS STEEL,,,,
11271,DREDGECORP,Dredging Corporation of India,,,,,,
11287,UPL,UPL,CHEMICALS,AGROCHEMICALS,,,,
1134,APOLLO,Apollo Micro Systems,,,,,,
11351,PETRONET,Petronet LNG,OIL & GAS,LNG TERMINAL / IMPORT,,,,
11364,VAIBHAVGBL,Vaibhav Global,,,,,,
11373,BIOCON,Biocon,PHARMA,BIOTECHNOLOGY,,,,
11403,POONAWALLA,Poonawalla Fincorp,,,,,,
11435,SPANDANA,Spandana Sphoorty Financial,,,,,,
11483,LT,Larsen & Toubro,,,,,,
11532,ULTRACEMCO,UltraTech Cement,CEMENT,CEMENT,,,,
11536,TCS,Tata Consultancy Services,IT,IT SERVICES,,,,
11543,COFORGE,Coforge,IT,IT SERVICES,,,,
11573,FORCEMOT,Force Motors,,,,,,
11606,GUFICBIO,Gufic BioSciences,,,,,,
11618,ASTRAMICRO,Astra Microwave Products,,,,,,
11626,WELENT,Welspun Enterprises,,,,,,
11630,NTPC,NTPC,,,,,,
1164,NEWGEN,Newgen Software Technologies,,,,,,
11654,LALPATHLAB,Dr. Lal Path Labs,HEALTHCARE SERVICES,DIAGNOSTICS,,,,
11655,JBMA,JBM Auto,,,,,,
11703,ALKEM,Alkem Laboratories,PHARMA,PHARMACEUTICALS,,,,
11723,JSWSTEEL,JSW Steel,METAL,STEEL,,,,
1174,GNFC,Gujarat Narmada Valley Fert & Chem,,,,,,
11743,JINDALPHOT,Jindal Photo,,,,,,
11778,GOKEX,Gokaldas Exports,,,,,,
11782,EVEREADY,Eveready Industries,,,,,,
11794,SAKSOFT,Saksoft,,,,,,
11809,IIFL,IIFL Finance,,,,,,
1181,GODFRYPHLP,Godfrey Phillips,,,,,,
11821,WELCORP,Welspun Corp,METAL,STEEL PIPES,,,,
11829,SSWL,Steel Strips Wheels,,,,,,
11840,NH,Narayana Hrudayalaya,HEALTHCARE SERVICES,HOSPITALS,,,,
1185,AMBER,Amber Enterprises,CONSUMER DURABLES,AC COMPONENTS / ELECTRONICS MFG,,,,
1186,GLAND,Gland Pharma,PHARMA,PHARMACEUTICALS - INJECTABLES,,,,
11860,JKPAPER,JK Paper,,,,,,
11872,GRANULES,Granules,PHARMA,PHARMACEUTICALS / APIS,,,,
11884,MANINDS,Man Industries,,,,,,
11905,GENUSPOWER,Genus Power Infrastructures,,,,,,
11966,BIKAJI,Bikaji Foods International,,,,,,
11971,GOLDIAM,Goldiam International,,,,,,
11975,RML,Rane Madras,,,,,,
11987,ICIL,Indo Count Industries,,,,,,
12032,FIVESTAR,Five Star Business Finance,,,,,,
