Symbol,SecurityID,LTP
ARE&M,100,842.8
FACT,1008,866
GODREJCP,10099,1011.9
ADANIENSOL,10217,1482.6
MANORAMA,10227,1660.9
FEDERALBNK,1023,329.05
SYNGENE,10243,439.95
PPL,10297,323.71
AURUM,10310,226.48
FINCABLES,1038,1170.6
DYCL,10417,369.05
LUPIN,10440,2432
UNITDSPR,10447,1350
SATIN,10453,243.01
RAMRAT,10485,403.15
KRBL,10577,378.4
MARKSANS,10579,265.5
GUJGASLTD,10599,327.8
BHARTIARTL,10604,1862.2
OLECTRA,10637,1504.7
OFSS,10738,10817.5
ZENSARTECH,1076,426.35
SYRMA,10793,1391.2
GABRIEL,1085,1238.7
GENESYS,10905,320.15
DIVISLAB,10940,6597
RADICO,10990,3959.8
MARUTI,10999,14112
HARSHA,11162,419.75
INDIGO,11195,5376.5
SUVEN,11233,279.75
JSL,11236,696.6
DREDGECORP,11271,1103.6
UPL,11287,568.5
APOLLO,1134,425.25
PETRONET,11351,281.3
VAIBHAVGBL,11364,229.34
BIOCON,11373,418.2
POONAWALLA,11403,440.55
SPANDANA,11435,269.65
LT,11483,4144.2
ULTRACEMCO,11532,11292
TCS,11536,2028.7
COFORGE,11543,1481
FORCEMOT,11573,18467
GUFICBIO,11606,419.5
ASTRAMICRO,11618,1762.7
WELENT,11626,609.85
NTPC,11630,355.75
NEWGEN,1164,471.5
LALPATHLAB,11654,1655
JBMA,11655,695.8
ALKEM,11703,5584.5
JSWSTEEL,11723,1226.5
GNFC,1174,542.45
JINDALPHOT,11743,1209.7
GOKEX,11778,871.55
EVEREADY,11782,370.5
SAKSOFT,11794,202.27
IIFL,11809,509.2
GODFRYPHLP,1181,2167.2
WELCORP,11821,1523.8
SSWL,11829,229.97
NH,11840,1975.1
AMBER,1185,7538
GLAND,1186,2498
JKPAPER,11860,351.3
GRANULES,11872,807
MANINDS,11884,579.05
GENUSPOWER,11905,290.75
BIKAJI,11966,647.65
GOLDIAM,11971,442.35
RML,11975,1168.05
ICIL,11987,439.6
FIVESTAR,12032,499.75
KAYNES,12092,3164.8
INOXGREEN,12188,201.1
RUSTOMJEE,12219,425.2
GRASIM,1232,3097.4
GREAVESCOT,1235,220.42
SWSOLAR,12489,247.39
MBAPL,12686,563
AMBUJACEM,1270,423.55
KRISHANA,12847,690.25
ABB,13,7042.5
360ONE,13061,1078.3
IIFLCAPS,13072,337.6
TRIVENI,13081,418.8
AIAENG,13086,5105
KERNEX,13121,2116.9
KEC,13260,522.8
MARINE,1328,282.2
M&MFIN,13285,315.2
KEI,13310,5446
HDFCBANK,1333,799.45
SOLARINDS,13332,18657
KFINTECH,13359,885.95
HEG,1336,514.9
SUNTV,13404,514.65
GPIL,13409,256.85
RSYSTEMS,13414,238.6
HEROMOTOCO,1348,4804
