event,underlying,trading_symbol,option_type,strike,expiry,days_to_expiry,lots,qty,entry_premium,peak_premium,stop_level,exit_premium,pnl,pnl_pct,entry_time,exit_time,exit_reason,entry_delta,entry_theta,entry_gamma,entry_vega,entry_iv,logged_at
ENTRY,TORNTPHARM,TORNTPHARM-Jul2026-4900-CE,CE,4900.0,2026-07-28,8,1,125,74.0,74.0,55.5,,,,09:32:48,,,0.49755,-5.15326,0.00208,2.96875,25.737206825852216,2026-07-20 09:36:02
ENTRY,NHPC,NHPC-Jul2026-80-CE,CE,80.0,2026-07-28,8,1,6950,1.56,1.56,1.17,,,,10:08:06,,,0.56406,-0.08952,0.1191,0.04794,27.156435113913414,2026-07-20 11:31:30
ENTRY,BANKINDIA,BANKINDIA-Jul2026-145-CE,CE,145.0,2026-07-28,8,1,5200,3.17,3.17,2.38,,,,11:44:44,,,0.50539,-0.21154,0.04931,0.08741,36.920698049708925,2026-07-20 11:45:06
ENTRY,MUTHOOTFIN,MUTHOOTFIN-Jul2026-3000-CE,CE,3000.0,2026-07-28,8,1,275,53.5,53.5,40.12,,,,11:44:44,,,0.46492,-4.03332,0.00257,1.79231,34.335044002744766,2026-07-20 11:45:09
ENTRY,BHARATFORG,BHARATFORG-Jul2026-2180-CE,CE,2180.0,2026-07-28,8,1,500,47.0,47.0,35.25,,,,11:44:44,,,0.56139,-2.69104,0.00391,1.30744,30.365553617577945,2026-07-20 11:45:30
EXIT,BHARATFORG,BHARATFORG-Jul2026-2180-CE,CE,2180.0,2026-07-28,8,1,500,47.0,47.5,35.25,45.0,-1000.0,-4.3,11:44:44,11:51:31,SYSTEM_EXIT,0.56139,-2.69104,0.00391,1.30744,30.365553617577945,2026-07-20 11:51:31
ENTRY,OIL,OIL-Jul2026-450-CE,CE,450.0,2026-07-28,8,1,1400,6.7,6.7,5.03,,,,11:45:37,,,0.53208,-0.43266,0.02557,0.27112,22.80726608861737,2026-07-20 11:51:34
EXIT,MUTHOOTFIN,MUTHOOTFIN-Jul2026-3000-CE,CE,3000.0,2026-07-28,8,1,275,53.5,54.15,40.12,53.95,123.75,0.8,11:44:44,11:54:27,SYSTEM_EXIT,0.46492,-4.03332,0.00257,1.79231,34.335044002744766,2026-07-20 11:54:27
ENTRY,NAUKRI,NAUKRI-Jul2026-1200-CE,CE,1200.0,2026-07-28,8,1,550,22.3,22.3,16.73,,,,11:45:57,,,0.52965,-1.41296,0.00759,0.72335,28.842670051917434,2026-07-20 11:54:30
EXIT,OIL,OIL-Jul2026-450-CE,CE,450.0,2026-07-28,8,1,1400,6.7,11.4,9.69,9.5,3920.0,41.8,11:45:37,13:18:58,TRAIL_STOP,0.53208,-0.43266,0.02557,0.27112,22.80726608861737,2026-07-20 13:18:58
ENTRY,BHARATFORG,BHARATFORG-Jul2026-2200-CE,CE,2200.0,2026-07-28,8,1,500,45.0,45.0,33.75,,,,14:34:17,,,0.56837,-2.57258,0.00417,1.30695,28.352555132108424,2026-07-20 14:34:46
ENTRY,BHEL,BHEL-Jul2026-417.5-CE,CE,417.5,2026-07-28,8,1,2625,8.9,8.9,6.68,,,,14:34:17,,,0.51586,-0.58556,0.01816,0.25009,34.98322870053308,2026-07-20 14:34:49
ENTRY,AMBUJACEM,AMBUJACEM-Jul2026-440-CE,CE,440.0,2026-07-28,8,1,1200,9.55,9.55,7.16,,,,14:34:18,,,0.53142,-0.60123,0.01772,0.26348,33.87284287638385,2026-07-20 14:34:55
EXIT,BHEL,BHEL-Jul2026-417.5-CE,CE,417.5,2026-07-28,8,1,2625,8.9,8.9,6.68,8.7,-525.0,-2.2,14:34:17,14:42:47,SYSTEM_EXIT,0.51586,-0.58556,0.01816,0.25009,34.98322870053308,2026-07-20 14:42:47
ENTRY,BANKINDIA,BANKINDIA-Jul2026-147.5-CE,CE,147.5,2026-07-28,8,1,5200,3.67,3.67,2.75,,,,14:35:25,,,0.50372,-0.24773,0.04216,0.0882,42.80133161832998,2026-07-20 14:42:49
EXIT,AMBUJACEM,AMBUJACEM-Jul2026-440-CE,CE,440.0,2026-07-28,8,1,1200,9.55,9.7,7.16,7.75,-2160.0,-18.8,14:34:18,15:20:58,SYSTEM_EXIT,0.53142,-0.60123,0.01772,0.26348,33.87284287638385,2026-07-20 15:20:58
ENTRY,OIL,OIL-Jul2026-455-CE,CE,455.0,2026-07-28,8,1,1400,6.45,6.45,4.84,,,,14:40:16,,,0.50413,-0.45623,0.02444,0.27196,23.942075489264635,2026-07-20 15:21:01
ENTRY,DMART,DMART-Jul2026-4000-CE,CE,4000.0,2026-07-28,7,1,150,58.5,58.5,43.88,,,,09:16:03,,,0.48397,-4.71931,0.00252,2.2738,27.71354011251374,2026-07-21 09:16:14
ENTRY,ADANIPORTS,ADANIPORTS-Jul2026-1840-CE,CE,1840.0,2026-07-28,7,1,475,29.15,29.15,21.86,,,,09:16:03,,,0.53886,-2.02284,0.00598,1.0473,25.15465215180014,2026-07-21 09:16:20
ENTRY,GRASIM,GRASIM-Jul2026-3160-CE,CE,3160.0,2026-07-28,7,1,250,42.95,42.95,32.21,,,,09:16:03,,,0.51606,-3.21746,0.00381,1.80203,23.131841220078954,2026-07-21 09:16:23
EXIT,ADANIPORTS,ADANIPORTS-Jul2026-1840-CE,CE,1840.0,2026-07-28,7,1,475,29.15,30.2,21.86,29.15,0.0,0.0,09:16:03,09:16:58,STOPLOSS,0.53886,-2.02284,0.00598,1.0473,25.15465215180014,2026-07-21 09:16:58
ENTRY,BOSCHLTD,BOSCHLTD-Jul2026-41250-CE,CE,41250.0,2026-07-28,7,1,25,591.35,591.35,443.51,,,,09:16:14,,,0.4969,-46.23342,0.00026,23.50047,26.002774793868266,2026-07-21 09:17:00
EXIT,BOSCHLTD,BOSCHLTD-Jul2026-41250-CE,CE,41250.0,2026-07-28,7,1,25,591.35,591.35,443.51,591.35,0.0,0.0,09:16:14,09:17:19,STOPLOSS,0.4969,-46.23342,0.00026,23.50047,26.002774793868266,2026-07-21 09:17:19
EXIT,DMART,DMART-Jul2026-4000-CE,CE,4000.0,2026-07-28,7,1,150,58.5,60.15,43.88,60.15,247.5,2.8,09:16:03,09:17:57,STOPLOSS,0.48397,-4.71931,0.00252,2.2738,27.71354011251374,2026-07-21 09:17:57
EXIT,GRASIM,GRASIM-Jul2026-3160-CE,CE,3160.0,2026-07-28,7,1,250,42.95,45.1,32.21,42.1,-212.5,-2.0,09:16:03,09:18:05,STOPLOSS,0.51606,-3.21746,0.00381,1.80203,23.131841220078954,2026-07-21 09:18:05
