Date,Time,Symbol,Entry,Exit,Qty,PnL,Reason
2026-06-25,09:37:21,SENSEXBETA,854.24,854.0,892,-214.08,STOPLOSS
2026-06-25,09:37:44,SIYSIL,650.2,660.1,163,1613.7,STOPLOSS
2026-06-25,09:37:56,SHRIPISTON,3969.9,4026.0,50,2805.0,STOPLOSS
2026-06-25,09:38:07,WAAREEINDO,402.0,409.9,689,5443.1,TARGET
2026-06-25,09:39:09,EMCURE,1923.8,1884.3,50,-1975.0,STOPLOSS
2026-06-25,09:39:11,ORIENTBELL,325.0,333.15,500,4075.0,TARGET
2026-06-25,09:39:53,INDNIPPON,952.0,954.0,298,596.0,STOPLOSS
2026-06-25,09:40:33,TALBROAUTO,399.95,419.0,165,3143.25,STOPLOSS
2026-06-25,09:41:20,TIMEX,501.25,511.45,287,2927.4,STOPLOSS
2026-06-25,10:03:21,KABRAEXTRU,242.05,240.52,1923,-2942.19,STOPLOSS
2026-06-25,11:47:47,ONWARDTEC,281.7,299.5,146,2598.8,STOPLOSS
2026-06-25,11:54:24,TATACONSUM,1106.4,1113.2,180,1224.0,STOPLOSS
2026-06-28,10:15:20,SBIN,1027.0,1055.0,25,700.0,TARGET
2026-06-29,11:33:05,DALBHARAT,1721.2,1704.7,29,-478.5,STOPLOSS
2026-06-29,12:08:34,HDFCAMC,2663.8,2636.0,18,-500.4,STOPLOSS
2026-06-29,12:17:24,TITAN,4305.0,4272.9,11,-353.1,STOPLOSS
2026-06-29,12:21:15,EUREKAFORB,459.85,446.9,108,-1398.6,STOPLOSS
2026-06-29,12:51:08,SAREGAMA,492.65,492.6,101,-5.05,STOPLOSS
2026-06-29,13:37:49,MINDACORP,673.45,673.35,74,-7.4,STOPLOSS
2026-06-29,14:38:02,AUROPHARMA,1576.8,1550.2,31,-824.6,STOPLOSS
2026-06-29,14:46:41,AVANTIFEED,963.6,936.4,51,-1387.2,STOPLOSS
2026-06-29,14:56:30,VIMTALABS,599.1,582.3,83,-1394.4,STOPLOSS
2026-06-29,15:00:47,MAZDOCK,2496.0,2458.2,20,-756.0,STOPLOSS
2026-06-29,15:01:07,ASTRAMICRO,1752.1,1717.5,28,-968.8,STOPLOSS
2026-06-29,15:04:44,LLOYDSME,1744.2,1797.0,28,1478.4,TARGET
2026-06-29,15:11:29,MCX,2857.8,2936.5,17,1337.9,TARGET
2026-06-29,15:15:00,V2RETAIL,224.75,227.45,222,599.4,TIME_EXIT
2026-06-29,15:15:00,AUBANK,1035.5,1030.3,48,-249.6,TIME_EXIT
2026-06-29,15:15:00,CAMS,794.45,788.45,62,-372.0,TIME_EXIT
2026-06-29,15:15:00,NAM-INDIA,1155.0,1167.6,439,5531.4,TIME_EXIT
2026-06-29,15:15:00,NLCINDIA,323.6,328.0,154,677.6,TIME_EXIT
2026-06-29,15:15:00,AADHARHFC,525.0,518.15,95,-650.75,TIME_EXIT
2026-06-29,15:15:00,ZYDUSLIFE,1121.7,1121.7,44,0.0,TIME_EXIT
2026-06-29,15:15:00,VEDL,275.95,285.0,181,1638.05,TIME_EXIT
2026-06-29,15:15:00,TATACOMM,2003.8,1991.4,24,-297.6,TIME_EXIT
2026-06-29,15:15:00,360ONE,1091.0,1090.2,45,-36.0,TIME_EXIT
2026-06-29,15:15:00,OBEROIRLTY,1764.2,1757.9,28,-176.4,TIME_EXIT
2026-06-29,15:15:00,ATGL,715.05,729.85,69,1021.2,TIME_EXIT
2026-06-29,15:15:00,HINDALCO,967.2,963.6,51,-183.6,TIME_EXIT
2026-06-29,15:15:00,GOKEX,853.8,850.05,58,-217.5,TIME_EXIT
2026-06-29,15:15:00,RAMCOCEM,926.95,930.0,53,161.65,TIME_EXIT
2026-06-29,15:15:00,KALYANKJIL,380.75,378.1,131,-347.15,TIME_EXIT
2026-06-29,15:15:00,AETHER,1348.0,1344.3,37,-136.9,TIME_EXIT
2026-06-29,15:15:00,SUPRIYA,939.85,973.45,53,1780.8,TIME_EXIT
2026-06-29,15:15:00,JYOTICNC,781.35,782.95,63,100.8,TIME_EXIT
2026-06-29,15:15:00,LICHSGFIN,552.05,560.1,90,724.5,TIME_EXIT
2026-06-29,15:15:01,HEXT,522.55,517.6,95,-470.25,TIME_EXIT
2026-06-29,15:15:01,SAILIFE,1232.3,1253.9,40,864.0,TIME_EXIT
2026-06-29,15:15:00,ICIL,427.45,426.9,116,-63.8,TIME_EXIT
2026-06-29,15:15:01,WELCORP,1477.6,1510.0,33,1069.2,TIME_EXIT
2026-06-29,15:15:01,CHAMBLFERT,473.25,474.05,105,84.0,TIME_EXIT
2026-06-29,15:15:01,EMCURE,1882.2,1856.8,26,-660.4,TIME_EXIT
2026-06-29,15:15:01,LICI,426.9,430.75,117,450.45,TIME_EXIT
2026-06-29,15:15:01,CIPLA,1471.0,1454.9,33,-531.3,TIME_EXIT
2026-06-29,15:15:01,AVL,673.05,669.65,74,-251.6,TIME_EXIT
2026-06-29,15:15:02,NATCOPHARM,915.0,920.2,54,280.8,TIME_EXIT
2026-06-29,15:15:01,SHRINGARMS,219.0,219.89,228,202.92,TIME_EXIT
2026-06-29,15:15:01,STARHEALTH,588.0,586.85,85,-97.75,TIME_EXIT
2026-06-29,15:15:01,KTKBANK,269.85,268.6,185,-231.25,TIME_EXIT
2026-06-29,15:15:02,SHADOWFAX,224.39,226.96,222,570.54,TIME_EXIT
2026-06-29,15:15:02,JSWENERGY,578.6,587.2,86,739.6,TIME_EXIT
2026-06-29,15:15:02,GABRIEL,1246.3,1277.4,40,1244.0,TIME_EXIT
2026-06-29,15:15:02,AIIL,522.75,519.05,95,-351.5,TIME_EXIT
2026-06-29,15:15:01,DENTA,330.1,335.35,151,792.75,TIME_EXIT
2026-06-29,15:15:02,PIXTRANS,1845.2,1867.0,27,588.6,TIME_EXIT
2026-06-29,15:15:02,SHAILY,2919.6,2889.9,17,-504.9,TIME_EXIT
2026-06-29,15:15:02,MSTCLTD,654.65,691.75,76,2819.6,TIME_EXIT
2026-06-29,15:15:02,SKYGOLD,506.5,512.8,98,617.4,TIME_EXIT
2026-06-29,15:15:02,PRINCEPIPE,284.5,284.85,175,61.25,TIME_EXIT
2026-06-29,15:15:02,QUADFUTURE,458.25,445.9,109,-1346.15,TIME_EXIT
2026-06-29,15:15:03,CUB,202.65,200.55,246,-516.6,TIME_EXIT
2026-06-29,15:15:03,OIL,413.3,412.65,120,-78.0,TIME_EXIT
2026-06-29,15:15:03,POLICYBZR,1638.4,1620.4,30,-540.0,TIME_EXIT
2026-06-29,15:15:03,AMBUJACEM,426.65,424.25,117,-280.8,TIME_EXIT
2026-06-29,15:15:03,SPARC,229.92,230.97,217,227.85,TIME_EXIT
2026-06-29,15:15:03,PHOENIXLTD,1921.1,1908.5,26,-327.6,TIME_EXIT
2026-06-29,15:15:04,AVALON,1790.0,1776.9,27,-353.7,TIME_EXIT
2026-06-29,15:15:05,PCBL,320.7,319.8,155,-139.5,TIME_EXIT
2026-06-29,15:15:04,SOMANYCERA,520.35,519.45,2489,-2240.1,TIME_EXIT
2026-06-29,15:15:05,TRITURBINE,677.5,688.85,73,828.55,TIME_EXIT
2026-06-29,15:15:05,RRKABEL,2522.9,2503.2,19,-374.3,TIME_EXIT
2026-06-29,15:15:05,LIBERTSHOE,270.0,272.93,185,542.05,TIME_EXIT
2026-06-29,15:15:05,CHOICEIN,750.6,745.45,66,-339.9,TIME_EXIT
2026-06-29,15:15:05,AEGISVOPAK,234.72,231.68,213,-647.52,TIME_EXIT
2026-06-29,15:15:05,MIDHANI,419.35,413.85,119,-654.5,TIME_EXIT
2026-06-29,15:15:06,KFINTECH,879.45,869.5,56,-557.2,TIME_EXIT
2026-06-29,15:15:06,SANSERA,3159.0,3140.0,15,-285.0,TIME_EXIT
2026-06-29,15:15:06,CMRGREEN,251.31,253.78,198,489.06,TIME_EXIT
2026-06-29,15:15:06,JINDALSTEL,1078.7,1065.1,46,-625.6,TIME_EXIT
2026-06-29,15:15:06,ACMESOLAR,367.55,380.2,136,1720.4,TIME_EXIT
2026-06-29,15:15:06,KPIGREEN,399.25,395.2,125,-506.25,TIME_EXIT
2026-06-29,15:15:07,ABSLAMC,1163.6,1191.9,42,1188.6,TIME_EXIT
2026-06-29,15:15:07,AEROFLEX,471.55,468.45,106,-328.6,TIME_EXIT
2026-06-29,15:15:07,COALINDIA,440.55,445.4,113,548.05,TIME_EXIT
2026-06-29,15:15:07,KARURVYSYA,296.1,298.0,168,319.2,TIME_EXIT
2026-06-29,15:15:07,PIDILITIND,1612.4,1599.1,31,-412.3,TIME_EXIT
2026-06-29,15:15:07,CSBBANK,328.9,328.65,152,-38.0,TIME_EXIT
2026-06-29,15:15:07,ZYDUSWELL,548.1,570.0,91,1992.9,TIME_EXIT
2026-06-29,15:15:07,WALCHANNAG,278.6,273.85,179,-850.25,TIME_EXIT
2026-06-29,15:15:07,MARICO,842.55,839.4,59,-185.85,TIME_EXIT
2026-06-29,15:15:08,JAINREC,350.55,342.5,142,-1143.1,TIME_EXIT
2026-06-29,15:15:07,AEQUS,233.75,239.44,213,1211.97,TIME_EXIT
2026-06-29,15:15:08,TRENT,3298.0,3260.5,15,-562.5,TIME_EXIT
2026-06-29,15:15:09,EVERESTIND,477.8,472.65,104,-535.6,TIME_EXIT
2026-06-29,15:15:10,COHANCE,460.7,450.4,108,-1112.4,TIME_EXIT
2026-06-29,15:15:09,RELAXO,412.25,416.65,121,532.4,TIME_EXIT
2026-06-29,15:15:10,VTL,638.65,629.95,120,-1044.0,TIME_EXIT
2026-06-29,15:15:11,TANLA,529.7,530.2,94,47.0,TIME_EXIT
2026-06-29,15:15:11,OPTIEMUS,476.35,470.95,104,-561.6,TIME_EXIT
